Ward_GSS_CODE,Open Space with access rate 2013
E05000026,6.790378521
E05000027,17.21617388
E05000028,0.684384795
E05000029,33.56236552
E05000030,35.26026876
E05000031,11.44126631
E05000032,15.50617853
E05000033,9.739703458
E05000034,26.82744815
E05000035,19.06764757
E05000036,38.78341391
E05000037,13.69742259
E05000038,14.40682689
E05000039,38.35453234
E05000040,10.36244427
E05000041,42.23375685
E05000042,0.144946537
E05000043,16.52449228
E05000044,13.50938387
E05000045,6.701286198
E05000046,6.016977206
E05000047,14.3240447
E05000048,19.83168477
E05000049,27.37541201
E05000050,6.379769278
E05000051,8.026701915
E05000052,15.45897383
E05000053,7.613623445
E05000054,42.20328577
E05000055,11.85559755
E05000056,18.69657537
E05000057,15.80906759
E05000058,1.676959973
E05000059,11.83728989
E05000060,30.74413699
E05000061,6.084145692
E05000062,27.17130632
E05000063,8.425894795
E05000064,32.04098765
E05000065,23.17805258
E05000066,8.479731501
E05000067,9.219552589
E05000068,6.376487793
E05000069,4.995464741
E05000070,3.556868515
E05000071,21.89163404
E05000072,27.03570397
E05000073,32.17370447
E05000074,20.67035899
E05000075,40.44261616
E05000076,0
E05000077,34.20289734
E05000078,15.05277068
E05000079,43.39177587
E05000080,9.713013136
E05000081,21.2157632
E05000082,0.886309943
E05000083,13.38758881
E05000084,40.6621121
E05000085,8.798124927
E05000086,19.98817961
E05000087,1.618942531
E05000088,22.74849322
E05000089,6.509464399
E05000090,33.73774886
E05000091,0.385460085
E05000092,0.079702978
E05000093,10.07300599
E05000094,3.605148981
E05000095,3.293036679
E05000096,18.49813593
E05000097,8.805247277
E05000098,14.92287896
E05000099,6.05363267
E05000100,6.689920243
E05000101,19.39896003
E05000102,4.257380239
E05000103,22.86137543
E05000104,11.40443407
E05000105,24.95457232
E05000106,5.721924538
E05000107,6.1491091
E05000108,13.28124634
E05000109,8.083176396
E05000110,8.276901615
E05000111,32.41772026
E05000112,9.686334667
E05000113,0.455651317
E05000114,6.845693551
E05000115,12.32122536
E05000116,30.19064277
E05000117,11.69498613
E05000118,23.09024702
E05000119,19.44594146
E05000120,9.517134261
E05000121,10.88400531
E05000122,11.71645227
E05000123,7.268091921
E05000124,13.90175387
E05000125,2.908615477
