New code,Population density (persons per sq km) - 2013
E09000001,2538.1
E05000026,10500
E05000027,7428.6
E05000028,9269.2
E05000029,2985.3
E05000030,3028.6
E05000031,8357.1
E05000032,12772.7
E05000033,8692.3
E05000034,5475
E05000035,7281.3
E05000036,5473.7
E05000037,8250
E05000038,3166.7
E05000039,1867.1
E05000040,7692.3
E05000041,5166.7
E05000042,6781.3
E05000043,5218.8
E05000044,8857.1
E05000045,6516.1
E05000046,8250
E05000047,6425.9
E05000048,4302.6
E05000049,6440
E05000050,3017.9
E05000051,5925.9
E05000052,3436.2
E05000053,7150
E05000054,3250
E05000055,6625
E05000056,1873.5
E05000057,2010.6
E05000058,4833.3
E05000059,1795.5
E05000060,3554.3
E05000061,7590.9
E05000062,5279.4
E05000063,6846.2
E05000064,3672.4
E05000065,3828.1
E05000066,6352.9
E05000067,5285.7
E05000068,5350
E05000069,4500
E05000070,7093.8
E05000071,2925
E05000072,1583.3
E05000073,4092.6
E05000074,5022.7
E05000075,2614.6
E05000076,6470.6
E05000077,4791.7
E05000078,4096.2
E05000079,2070.2
E05000080,5972.2
E05000081,2420.5
E05000082,8071.4
E05000083,4092.6
E05000084,2583.3
E05000085,7047.6
E05000086,5366.7
E05000087,7794.1
E05000088,5934.8
E05000089,9117.6
E05000090,5129.6
E05000091,15772.7
E05000092,13681.8
E05000093,5413
E05000094,19333.3
E05000095,11357.1
E05000096,4888.9
E05000097,6541.7
E05000098,10300
E05000099,8050
E05000100,4231.7
E05000101,7238.1
E05000102,6160.7
E05000103,6065.2
E05000104,9718.8
E05000105,10600
E05000106,3132.7
E05000107,1222.9
E05000108,1897.6
E05000109,4797.3
E05000110,1166.7
E05000111,1461.5
E05000112,6869.6
E05000113,4772.7
E05000114,1176.7
E05000115,4371.8
E05000116,5478.3
E05000117,181
E05000118,2121.4
E05000119,1500
E05000120,3105.8
E05000121,4250
E05000122,3616.3
E05000123,5883.3
E05000124,3220.9
E05000125,3850
E05000126,4020
E05000127,3443.2
E05000128,15937.5
E05000129,11650
E05000130,10791.7
E05000131,15375
E05000132,12000
E05000133,8133.3
E05000134,16357.1
E05000135,4540
E05000136,18000
E05000137,3484.4
E05000138,11250
E05000139,13750
E05000140,17500
E05000141,20833.3
E05000142,10961.5
E05000143,10785.7
E05000144,10076.9
E05000145,13722.2
E05000146,10843.8
E05000147,5555.6
E05000148,11750
E05000149,7185.2
E05000150,1629.9
E05000151,2770
E05000152,4614.3
E05000153,5065.8
E05000154,7800
E05000155,1551.7
E05000156,2369.2
E05000157,4604.2
E05000158,6740
E05000159,3607.1
E05000160,2071.4
E05000161,7978.3
E05000162,1882.8
E05000163,5214.3
E05000164,6979.2
E05000165,9852.9
E05000166,6307.7
E05000167,4847.2
E05000168,8925
E05000169,7727.3
E05000170,8750
E05000171,6750
E05000172,6152.2
E05000173,7868.4
E05000174,6809.5
E05000175,4523.3
E05000176,7450
E05000177,7120
E05000178,4264.7
E05000179,4787.9
E05000180,6522.7
E05000181,9433.3
E05000182,9133.3
E05000183,4656.3
E05000184,5482.1
E05000185,4371.4
E05000186,3750
E05000187,4573.5
E05000188,9205.9
E05000189,9343.8
E05000190,9406.3
E05000191,9714.3
E05000192,9033.3
E05000193,9733.3
E05000194,5720
E05000195,834.3
E05000196,1370.2
E05000197,5951.6
E05000198,3576.1
E05000199,5166.7
E05000200,4015.2
E05000201,9277.8
E05000202,2647.1
E05000203,3782.1
E05000204,7681.8
E05000205,8263.2
E05000206,4771.4
E05000207,5172.4
E05000208,5537
E05000209,5538.5
E05000210,6954.5
E05000211,6434.8
E05000212,6777.8
E05000213,4928.6
E05000214,5722.2
E05000215,6047.6
E05000216,7050
E05000217,5180
E05000218,4788.5
E05000219,2717.4
E05000220,4666.7
E05000221,10441.2
E05000222,6053.6
E05000223,5854.2
E05000224,4045.5
E05000225,4155.6
E05000226,6854.2
E05000227,3486.8
E05000228,4218.8
E05000229,6903.8
E05000230,6359.4
E05000231,15187.5
E05000232,19214.3
E05000233,15055.6
E05000234,17642.9
E05000235,17000
E05000237,16000
E05000238,13100
E05000239,12166.7
E05000240,19750
E05000241,6305.6
E05000242,12954.5
E05000243,10333.3
E05000244,13450
E05000245,12727.3
E05000246,12500
E05000247,18214.3
E05000248,16812.5
E05000249,7500
E05000250,19083.3
E05000251,17562.5
E05000252,13722.2
E05000253,2897.1
E05000254,16000
E05000255,12777.8
E05000256,10954.5
E05000257,18250
E05000258,20083.3
E05000259,5000
E05000260,11944.4
E05000261,9000
E05000262,9321.4
E05000263,11318.2
E05000264,15928.6
E05000265,14944.4
E05000266,4596.2
E05000267,10035.7
E05000268,16388.9
E05000269,8964.3
E05000270,6400
E05000271,8562.5
E05000272,4740
E05000273,11727.3
E05000274,6411.8
E05000275,11958.3
E05000276,7763.2
