Code,Median household income 2013
E09000001,63620
E05000026,33920
E05000027,32470
E05000028,33000
E05000029,33920
E05000030,37400
E05000031,32870
E05000032,29480
E05000033,33250
E05000034,31340
E05000035,40570
E05000036,31530
E05000037,31860
E05000038,33490
E05000039,32580
E05000040,33200
E05000041,31960
E05000042,37180
E05000043,39800
E05000044,29400
E05000045,38960
E05000046,30170
E05000047,38090
E05000048,39870
E05000049,41160
E05000050,38410
E05000051,45030
E05000052,53090
E05000053,40800
E05000054,38590
E05000055,38530
E05000056,43940
E05000057,41920
E05000058,41670
E05000059,46150
E05000060,37040
E05000061,42050
E05000062,35090
E05000063,38220
E05000064,38200
E05000065,33510
E05000066,40780
E05000067,40340
E05000068,40790
E05000069,40190
E05000070,34450
E05000071,34900
E05000072,35530
E05000073,38580
E05000074,36260
E05000075,33160
E05000076,39000
E05000077,35630
E05000078,40880
E05000079,29930
E05000080,37130
E05000081,44010
E05000082,38510
E05000083,41220
E05000084,32100
E05000085,31250
E05000086,34630
E05000087,40020
E05000088,30990
E05000089,33470
E05000090,35590
E05000091,27030
E05000092,34640
E05000093,42190
E05000094,34270
E05000095,36830
E05000096,41100
E05000097,35960
E05000098,42880
E05000099,35110
E05000100,25800
E05000101,33530
E05000102,33130
E05000103,31620
E05000104,31040
E05000105,31390
E05000106,47190
E05000107,40930
E05000108,40510
E05000109,43460
E05000110,44850
E05000111,46250
E05000112,41650
E05000113,43170
E05000114,32230
E05000115,31740
E05000116,34060
E05000117,42810
E05000118,44590
E05000119,45660
E05000120,44700
E05000121,32330
E05000122,38090
E05000123,36090
E05000124,48530
E05000125,39460
E05000126,48020
E05000127,46210
E05000128,52680
E05000129,40340
E05000130,45840
E05000131,39060
E05000132,46800
E05000133,60310
E05000134,39990
E05000135,62840
E05000136,35730
E05000137,47840
E05000138,40180
E05000139,41230
E05000140,34730
E05000141,32890
E05000142,34260
E05000143,30500
E05000144,50340
E05000145,46290
E05000146,38070
E05000147,38600
E05000148,33530
E05000149,31000
E05000150,42660
E05000151,46610
E05000152,42260
E05000153,39130
E05000154,26720
E05000155,39770
E05000156,44160
E05000157,28770
E05000158,36810
E05000159,44600
E05000160,47030
E05000161,31220
E05000162,45320
E05000163,39500
E05000164,34430
E05000165,33720
E05000166,37430
E05000167,34630
E05000168,32400
E05000169,33890
E05000170,36500
E05000171,41730
E05000172,29350
E05000173,45540
E05000174,43600
E05000175,32930
E05000176,38970
E05000177,30500
E05000178,35420
E05000179,44760
E05000180,36220
E05000181,32520
E05000182,48480
E05000183,36480
E05000184,31950
E05000185,28550
E05000186,29020
E05000187,36040
E05000188,34300
E05000189,27930
E05000190,27150
E05000191,50170
E05000192,46240
E05000193,36300
E05000194,41800
E05000195,36350
E05000196,43570
E05000197,26010
E05000198,29450
E05000199,30240
E05000200,45960
E05000201,29600
E05000202,43540
E05000203,30800
E05000204,28110
E05000205,37970
E05000206,28560
E05000207,33260
E05000208,41520
E05000209,42750
E05000210,42300
E05000211,28960
E05000212,28480
E05000213,45880
E05000214,31540
E05000215,49160
E05000216,37940
E05000217,38390
E05000218,43120
E05000219,37120
E05000220,34250
E05000221,31690
E05000222,42270
E05000223,35740
E05000224,35340
E05000225,41840
E05000226,32390
E05000227,39030
E05000228,34450
E05000229,30260
E05000230,33540
E05000231,40070
E05000232,38130
E05000233,32510
E05000234,45450
E05000235,38230
E05000236,39060
E05000237,35260
E05000238,35700
E05000239,36080
E05000240,34970
E05000241,31970
E05000242,35110
E05000243,39940
E05000244,35590
E05000245,36720
E05000246,33570
E05000247,42400
E05000248,37350
E05000249,32890
E05000250,43970
E05000251,38450
E05000252,43350
E05000253,30890
E05000254,42130
E05000255,42010
E05000256,39500
E05000257,50240
E05000258,39510
E05000259,53330
E05000260,55720
E05000261,45510
E05000262,44170
E05000263,36430
E05000264,47940
E05000265,31860
E05000266,51450
E05000267,34550
E05000268,30340
E05000269,52070
E05000270,49950
E05000271,37150
E05000272,53710
